Park Name,Recreation Visits,Non Recreation Visits,Recreation Hours,Non Recreation Hours,Concessioner Lodging,Concessioner Camping,Tent Campers,RV Campers,Backcountry,Non Recreation Overnight Stays,Miscellaneous Overnight Stays,Number of Activities,Entrance Fees
Acadia NP,297181.5909090909,3925.0,1931537.1136363635,3925.0,0.0,104.82575757575758,10320.848484848484,3754.4242424242425,106.26515151515152,0.0,698.7045454545455,46.0,6.0
Arches NP,127372.46212121213,125.48484848484848,524531.3712121212,125.48484848484848,0.0,0.0,1339.030303030303,1406.0,32.17424242424242,0.0,457.84090909090907,18.0,30.0
Badlands NP,86726.17424242424,5311.272727272727,380524.4015151515,5311.272727272727,802.3560606060606,2125.492424242424,325.030303030303,72.45454545454545,192.4090909090909,0.0,6.598484848484849,21.0,30.0
Big Bend NP,39713.34090909091,207.1818181818182,846926.0378787878,207.1818181818182,2717.181818181818,616.0530303030303,4288.75,2258.462121212121,3197.219696969697,0.0,2354.2348484848485,24.0,30.0
Biscayne NP,45659.68939393939,0.0,145788.92424242425,0.0,0.0,0.0,128.96212121212122,0.0,0.0,0.0,238.11363636363637,24.0,0.0
Black Canyon of the Gunnison NP,25658.416666666668,0.0,144481.66666666666,0.0,0.0,0.0,1377.8484848484848,988.25,138.36363636363637,0.0,0.0,26.0,30.0
Bryce Canyon NP,187936.4090909091,34811.583333333336,1029516.6136363636,34811.583333333336,3974.0,0.0,3467.840909090909,3731.378787878788,177.56060606060606,0.0,108.35606060606061,30.0,35.0
Canyonlands NP,62318.68939393939,0.0,430516.1515151515,0.0,0.0,0.0,843.1287878787879,707.5681818181819,6325.015151515152,0.0,91.53030303030303,22.0,30.0
Capitol Reef NP,100788.40909090909,5656.780303030303,147888.00757575757,5656.780303030303,0.0,0.0,1762.4772727272727,2069.628787878788,271.219696969697,0.0,211.28787878787878,42.0,20.0
Carlsbad Caverns NP,34306.86363636364,0.0,131031.64393939394,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,17.0,1.0
Channel Islands NP,26344.621212121212,726.0909090909091,313305.5681818182,726.0909090909091,0.0,0.0,0.0,0.0,2348.530303030303,776.4545454545455,3192.840909090909,39.0,0.0
Congaree NP,15267.651515151516,0.0,62860.76515151515,0.0,0.0,0.0,220.92424242424244,0.0,67.20454545454545,0.0,564.7575757575758,26.0,0.0
Crater Lake NP,53413.98484848485,4133.333333333333,294161.3409090909,4133.333333333333,2654.7954545454545,2803.7727272727275,224.07575757575756,0.0,208.82575757575756,0.0,0.0,43.0,30.0
Cuyahoga Valley NP,214477.15151515152,0.0,616653.9924242424,0.0,495.8712121212121,0.0,0.0,0.0,0.0,0.0,152.3409090909091,29.0,0.0
Death Valley NP,106979.12121212122,4197.113636363636,781706.3333333334,4197.113636363636,2165.1439393939395,741.7121212121212,6460.818181818182,7333.909090909091,304.0378787878788,0.0,47.09848484848485,27.0,30.0
Denali NP & PRES,39446.757575757576,69193.87878787878,493267.01515151514,69193.87878787878,0.0,1458.030303030303,795.280303030303,417.8333333333333,2494.742424242424,0.0,16.356060606060606,34.0,15.0
Dry Tortugas NP,6092.234848484848,311.20454545454544,54119.51515151515,311.20454545454544,0.0,0.0,449.45454545454544,0.0,0.0,311.20454545454544,625.9090909090909,18.0,15.0
Everglades NP,74790.35606060606,434.6666666666667,365228.9166666667,434.6666666666667,0.0,2637.3560606060605,183.96212121212122,223.03030303030303,1219.780303030303,0.0,56.03787878787879,46.0,35.0
Gates of the Arctic NP & PRES,830.6363636363636,0.0,10238.318181818182,0.0,0.0,0.0,0.0,0.0,410.65909090909093,0.0,0.0,16.0,0.0
Gateway Arch NP,143068.0303030303,0.0,471613.2196969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0
Glacier Bay NP & PRES,43256.378787878784,38.42424242424242,557061.0909090909,38.42424242424242,1054.8863636363637,0.0,58.21969696969697,0.0,358.5833333333333,342.1969696969697,992.8939393939394,31.0,0.0
Glacier NP,239403.8106060606,795.3636363636364,2585416.4166666665,795.3636363636364,8191.992424242424,0.0,8865.704545454546,8904.431818181818,2665.0833333333335,0.0,376.00757575757575,45.0,35.0
Grand Canyon NP,426856.7272727273,2204.598484848485,6703240.560606061,2204.598484848485,44727.431818181816,3504.25,10579.901515151516,5390.409090909091,24176.242424242424,0.0,1759.6363636363637,32.0,35.0
Grand Teton NP,283794.1590909091,128650.90151515152,1783578.8636363635,128650.90151515152,15117.227272727272,29383.666666666668,1.4848484848484849,2.8257575757575757,3263.5151515151515,0.0,36.166666666666664,54.0,35.0
Great Basin NP,11952.075757575758,108.72727272727273,118661.91666666667,108.72727272727273,0.0,0.0,2053.2651515151515,1497.8939393939395,36.15151515151515,0.0,115.92424242424242,35.0,0.0
Great Sand Dunes NP & PRES,38523.92424242424,39.166666666666664,219112.0,39.166666666666664,0.0,0.0,2339.4242424242425,1862.439393939394,621.2121212121212,0.0,653.9090909090909,56.0,25.0
Great Smoky Mountains NP,1011709.2196969697,893553.5833333334,6814426.962121212,893553.5833333334,880.5681818181819,0.0,15014.083333333334,11120.121212121212,7737.674242424242,0.0,2183.3030303030305,36.0,0.0
Guadalupe Mountains NP,16759.409090909092,76.36363636363636,43877.469696969696,76.36363636363636,0.0,0.0,1060.9772727272727,606.5075757575758,223.2651515151515,0.0,227.36363636363637,20.0,10.0
Haleakala NP,77792.59090909091,1950.5454545454545,197517.58333333334,1950.5454545454545,0.0,0.0,967.6742424242424,0.0,284.6287878787879,0.0,324.3863636363636,8.0,25.0
Hawaii Volcanoes NP,125662.37121212122,155586.30303030304,787398.0227272727,155586.30303030304,2274.9469696969695,389.04545454545456,94.8030303030303,3.196969696969697,372.07575757575756,0.0,5376.159090909091,17.0,30.0
Hot Springs NP,159960.15151515152,94685.33333333333,377191.88636363635,94685.33333333333,0.0,0.0,156.74242424242425,2278.969696969697,0.0,0.0,0.0,20.0,0.0
Indiana Dunes NP,195396.56818181818,372.5151515151515,527099.4090909091,372.5151515151515,0.0,0.0,1638.0984848484848,663.0454545454545,0.0,0.0,0.0,35.0,20.0
Isle Royale NP,2035.659090909091,10.780303030303031,104579.60606060606,10.780303030303031,824.6590909090909,18.0,415.95454545454544,0.0,2113.4772727272725,92.43939393939394,896.4772727272727,35.0,7.0
Joshua Tree NP,235096.57575757575,863.3409090909091,1423991.4848484849,863.3409090909091,0.0,0.0,17376.303030303032,6848.090909090909,1340.2348484848485,0.0,5600.818181818182,29.0,30.0
Katmai NP & PRES,3409.8030303030305,273.75,34166.32575757576,273.75,345.9015151515151,0.0,275.030303030303,0.0,356.1136363636364,62.0,0.5303030303030303,23.0,0.0
Kenai Fjords NP,28598.446969696968,0.0,94165.26515151515,0.0,0.0,0.0,73.1969696969697,0.0,27.522727272727273,0.0,26.71212121212121,38.0,0.0
Kobuk Valley NP,1090.8181818181818,544.1060606060606,9621.727272727272,544.1060606060606,0.0,0.0,0.0,0.0,448.3939393939394,454.6363636363636,0.0,19.0,0.0
Lake Clark NP & PRES,1437.3863636363637,112.25757575757575,13657.439393939394,112.25757575757575,0.0,0.0,0.0,0.0,480.74242424242425,86.79545454545455,9.378787878787879,39.0,0.0
Lassen Volcanic NP,39071.93939393939,0.0,417489.0909090909,0.0,251.5681818181818,43.02272727272727,4713.363636363636,2270.7272727272725,389.030303030303,0.0,1049.310606060606,47.0,30.0
Mammoth Cave NP,48163.61363636364,10163.265151515152,353414.57575757575,10163.265151515152,1458.7121212121212,0.0,3335.8257575757575,1275.659090909091,378.6136363636364,0.0,416.09090909090907,35.0,0.0
Mesa Verde NP,42790.878787878784,932.8712121212121,295610.88636363635,932.8712121212121,1537.0454545454545,0.0,2349.6666666666665,1821.7045454545455,0.0,0.0,16.734848484848484,20.0,30.0
Mount Rainier NP,124340.73484848485,59113.416666666664,1523327.7803030303,59113.416666666664,2808.287878787879,0.0,5026.136363636364,2229.159090909091,4206.022727272727,0.0,396.1060606060606,36.0,30.0
New River Gorge NP & PRES,119559.90151515152,395.47727272727275,288346.3106060606,395.47727272727275,0.0,0.0,811.469696969697,438.75,477.0151515151515,0.0,115.47727272727273,46.0,0.0
North Cascades NP,2504.5227272727275,0.0,44697.507575757576,0.0,0.0,0.0,0.0,0.0,1838.7651515151515,0.0,0.0,30.0,0.0
Olympic NP,259895.98484848486,67427.84090909091,1342655.6515151516,67427.84090909091,6218.477272727273,1114.1969696969697,11570.136363636364,6743.05303030303,9946.007575757576,0.0,13.204545454545455,54.0,30.0
Petrified Forest NP,47185.51515151515,10.0,121655.83333333333,10.0,0.0,0.0,0.0,0.0,66.74242424242425,0.0,0.0,37.0,25.0
Pinnacles NP,21840.31818181818,0.0,124702.50757575757,0.0,0.0,2126.3030303030305,0.0,0.0,0.0,0.0,0.0,26.0,30.0
Rocky Mountain NP,354949.6212121212,729.1666666666666,2386075.9166666665,729.1666666666666,0.0,0.0,8120.621212121212,4114.992424242424,3354.3333333333335,0.0,433.68939393939394,22.0,30.0
Saguaro NP,76299.18939393939,275675.79545454547,110708.65151515152,275675.79545454547,0.0,0.0,0.0,0.0,229.1818181818182,0.0,0.0,14.0,25.0
Shenandoah NP,125717.59848484848,913.5,884157.6666666666,913.5,5916.227272727273,0.0,9939.318181818182,4916.590909090909,4047.121212121212,0.0,20.598484848484848,34.0,30.0
Theodore Roosevelt NP,58399.51515151515,548.1666666666666,213328.99242424243,548.1666666666666,0.0,0.0,1071.8939393939395,1528.2954545454545,69.11363636363636,0.0,195.1818181818182,28.0,30.0
Virgin Islands NP,25196.113636363636,19142.14393939394,154956.05303030304,19142.14393939394,506.82575757575756,583.9166666666666,0.0,0.0,0.0,81.79545454545455,2111.560606060606,31.0,0.0
Voyageurs NP,19271.613636363636,0.0,98810.86363636363,0.0,299.79545454545456,0.0,0.0,0.0,4637.333333333333,0.0,1976.6818181818182,48.0,0.0
White Sands NP,52057.67424242424,0.0,114602.41666666667,0.0,0.0,0.0,0.0,0.0,168.8030303030303,0.0,0.0,11.0,25.0
Wind Cave NP,49804.43939393939,20063.469696969696,149861.76515151514,20063.469696969696,0.0,0.0,372.57575757575756,433.18939393939394,36.40909090909091,0.0,53.64393939393939,25.0,0.0
Wrangell-St. Elias NP & PRES,5928.545454545455,0.0,272712.9696969697,0.0,0.0,0.0,0.0,0.0,14.295454545454545,0.0,668.4090909090909,42.0,0.0
Yellowstone NP,352819.7878787879,103574.03787878787,6654905.196969697,103574.03787878787,46239.454545454544,40980.333333333336,5279.037878787879,4387.477272727273,3356.568181818182,0.0,634.939393939394,53.0,35.0
Yosemite NP,329310.75757575757,12793.371212121212,4983553.568181818,12793.371212121212,54716.94696969697,0.0,30580.916666666668,19035.303030303032,12977.151515151516,0.0,1868.25,33.0,35.0
Zion NP,372234.44696969696,1825.0,2405016.4696969697,1825.0,6365.825757575758,0.0,9751.825757575758,6654.969696969697,1360.5,0.0,1841.0984848484848,22.0,35.0
